year,month,season,date,site,site_number,rep,microsite,mass_g
2019,June,summer,30-Jun-19,Cuyama,C3,30,ephedra,3.5355
2019,June,summer,30-Jun-19,Cuyama,C3,30,open,1.9924
2019,July,summer,06-Jul-19,Mojave,M1,1,ephedra,2.4279
2019,July,summer,06-Jul-19,Mojave,M1,1,larrea,0
2019,July,summer,06-Jul-19,Mojave,M1,1,open,0
2019,July,summer,07-Jul-19,Mojave,M1,2,ephedra,0.8236
2019,July,summer,07-Jul-19,Mojave,M1,2,larrea,2.5099
2019,July,summer,07-Jul-19,Mojave,M1,2,open,0
2019,July,summer,06-Jul-19,Mojave,M1,3,ephedra,0
2019,July,summer,06-Jul-19,Mojave,M1,3,larrea,1.2452
2019,July,summer,06-Jul-19,Mojave,M1,3,open,2.7014
2019,July,summer,06-Jul-19,Mojave,M1,4,ephedra,1.6438
2019,July,summer,06-Jul-19,Mojave,M1,4,larrea,0
2019,July,summer,06-Jul-19,Mojave,M1,4,open,1.6199
2019,July,summer,06-Jul-19,Mojave,M1,5,ephedra,2.8529
2019,July,summer,06-Jul-19,Mojave,M1,5,larrea,1.3455
2019,July,summer,06-Jul-19,Mojave,M1,5,open,0
2019,July,summer,07-Jul-19,Mojave,M1,6,ephedra,0.8026
2019,July,summer,07-Jul-19,Mojave,M1,6,larrea,0
2019,July,summer,07-Jul-19,Mojave,M1,6,open,0.228
2019,July,summer,06-Jul-19,Mojave,M1,7,ephedra,0
2019,July,summer,06-Jul-19,Mojave,M1,7,larrea,0.871
2019,July,summer,06-Jul-19,Mojave,M1,7,open,3.238
2019,July,summer,06-Jul-19,Mojave,M1,8,ephedra,1.6012
2019,July,summer,06-Jul-19,Mojave,M1,8,larrea,0
2019,July,summer,06-Jul-19,Mojave,M1,8,open,4.6173
2019,July,summer,06-Jul-19,Mojave,M1,9,ephedra,4.5079
2019,July,summer,06-Jul-19,Mojave,M1,9,larrea,6.8569
2019,July,summer,06-Jul-19,Mojave,M1,9,open,0
2019,July,summer,07-Jul-19,Mojave,M1,10,ephedra,1.5888
2019,July,summer,07-Jul-19,Mojave,M1,10,larrea,0.9346
2019,July,summer,07-Jul-19,Mojave,M1,10,open,5.2662
2019,July,summer,06-Jul-19,Mojave,M1,11,ephedra,0.9155
2019,July,summer,06-Jul-19,Mojave,M1,11,larrea,2.6625
2019,July,summer,06-Jul-19,Mojave,M1,11,open,9.6249
2019,July,summer,06-Jul-19,Mojave,M1,12,ephedra,0.2082
2019,July,summer,06-Jul-19,Mojave,M1,12,larrea,0.6364
2019,July,summer,06-Jul-19,Mojave,M1,12,open,0
2019,July,summer,06-Jul-19,Mojave,M1,13,ephedra,4.6911
2019,July,summer,06-Jul-19,Mojave,M1,13,larrea,0
2019,July,summer,06-Jul-19,Mojave,M1,13,open,0
2019,July,summer,07-Jul-19,Mojave,M1,14,ephedra,2.4993
2019,July,summer,07-Jul-19,Mojave,M1,14,larrea,0.6417
2019,July,summer,07-Jul-19,Mojave,M1,14,open,0
2019,July,summer,06-Jul-19,Mojave,M1,15,ephedra,1.4538
2019,July,summer,06-Jul-19,Mojave,M1,15,larrea,0.4407
2019,July,summer,06-Jul-19,Mojave,M1,15,open,0
2019,July,summer,06-Jul-19,Mojave,M1,16,ephedra,1.7304
2019,July,summer,06-Jul-19,Mojave,M1,16,larrea,0.8109
2019,July,summer,06-Jul-19,Mojave,M1,16,open,1.902
2019,July,summer,06-Jul-19,Mojave,M1,17,ephedra,1.6714
2019,July,summer,06-Jul-19,Mojave,M1,17,larrea,0.591
2019,July,summer,06-Jul-19,Mojave,M1,17,open,0.674
2019,July,summer,07-Jul-19,Mojave,M1,18,ephedra,2.9426
2019,July,summer,07-Jul-19,Mojave,M1,18,larrea,1.8698
2019,July,summer,07-Jul-19,Mojave,M1,18,open,3.0682
2019,July,summer,06-Jul-19,Mojave,M1,19,ephedra,4.3501
2019,July,summer,06-Jul-19,Mojave,M1,19,larrea,0.9825
